--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:25:27 2023
--------------------------------------------------------------------------------

{'name': 'chrome.exe', 'pid': 9844, 'username': 'DC2\\ashinde05', 'vms': 24.03515625}
{'name': 'tvnserver.exe', 'pid': 9848, 'username': 'DC2\\ashinde05', 'vms': 1.57421875}
{'name': 'conhost.exe', 'pid': 9856, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.53515625}
{'name': 'Code.exe', 'pid': 9864, 'username': 'DC2\\ashinde05', 'vms': 9.85546875}
{'name': 'RtkAudUService64.exe', 'pid': 9896, 'username': 'DC2\\ashinde05', 'vms': 3.3828125}
{'name': 'svchost.exe', 'pid': 9908, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.25390625}
{'name': 'WavesSvc64.exe', 'pid': 9968, 'username': 'DC2\\ashinde05', 'vms': 212.59765625}
{'name': 'chrome.exe', 'pid': 9984, 'username': 'DC2\\ashinde05', 'vms': 207.82421875}
{'name': 'python.exe', 'pid': 10272, 'username': 'DC2\\ashinde05', 'vms': 7.06640625}
{'name': 'SentinelBrowserNativeHost.exe', 'pid': 10404, 'username': 'DC2\\ashinde05', 'vms': 3.55078125}
{'name': 'WebexHost.exe', 'pid': 10508, 'username': 'DC2\\ashinde05', 'vms': 9.79296875}
{'name': 'atmgr.exe', 'pid': 10544, 'username': 'DC2\\ashinde05', 'vms': 73.04296875}
{'name': 'chrome.exe', 'pid': 10632, 'username': 'DC2\\ashinde05', 'vms': 214.22265625}
{'name': 'chrome.exe', 'pid': 10664, 'username': 'DC2\\ashinde05', 'vms': 6.7890625}
{'name': 'py.exe', 'pid': 10680, 'username': 'DC2\\ashinde05', 'vms': 1.31640625}
{'name': 'chrome.exe', 'pid': 10872, 'username': 'DC2\\ashinde05', 'vms': 378.6640625}
{'name': 'chrome.exe', 'pid': 10880, 'username': 'DC2\\ashinde05', 'vms': 39.5546875}
{'name': 'chrome.exe', 'pid': 10908, 'username': 'DC2\\ashinde05', 'vms': 15.58203125}
{'name': 'chrome.exe', 'pid': 11120, 'username': 'DC2\\ashinde05', 'vms': 25.06640625}
{'name': 'cmd.exe', 'pid': 11236, 'username': 'DC2\\ashinde05', 'vms': 2.0703125}
{'name': 'conhost.exe', 'pid': 11248, 'username': 'DC2\\ashinde05', 'vms': 6.55859375}
{'name': 'slack.exe', 'pid': 11296, 'username': 'DC2\\ashinde05', 'vms': 77.19140625}
{'name': 'ShellExperienceHost.exe', 'pid': 11412, 'username': 'DC2\\ashinde05', 'vms': 47.91796875}
{'name': 'OcsSystray.exe', 'pid': 11420, 'username': 'DC2\\ashinde05', 'vms': 2.7265625}
{'name': 'WmiPrvSE.exe', 'pid': 11428, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 25.5546875}
{'name': 'slack.exe', 'pid': 11448, 'username': 'DC2\\ashinde05', 'vms': 11.0703125}
{'name': 'slack.exe', 'pid': 11540, 'username': 'DC2\\ashinde05', 'vms': 152.625}
{'name': 'slack.exe', 'pid': 11564, 'username': 'DC2\\ashinde05', 'vms': 16.1171875}
{'name': 'chrome.exe', 'pid': 11748, 'username': 'DC2\\ashinde05', 'vms': 52.63671875}
{'name': 'slack.exe', 'pid': 11800, 'username': 'DC2\\ashinde05', 'vms': 208.5859375}
{'name': 'chrome.exe', 'pid': 12000, 'username': 'DC2\\ashinde05', 'vms': 75.0}
{'name': 'slack.exe', 'pid': 12008, 'username': 'DC2\\ashinde05', 'vms': 42.453125}
{'name': 'DCProcessMonitor.exe', 'pid': 12084, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.29296875}
{'name': 'dcagenttrayicon.exe', 'pid': 12120, 'username': 'DC2\\ashinde05', 'vms': 5.7734375}
{'name': 'WmiPrvSE.exe', 'pid': 12144, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 34.7265625}
{'name': 'svchost.exe', 'pid': 12236, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 5.328125}
{'name': 'svchost.exe', 'pid': 12368, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.578125}
{'name': 'cmd.exe', 'pid': 12988, 'username': 'DC2\\ashinde05', 'vms': 2.89453125}
{'name': 'Code.exe', 'pid': 13076, 'username': 'DC2\\ashinde05', 'vms': 274.375}
{'name': 'conhost.exe', 'pid': 13092, 'username': 'DC2\\ashinde05', 'vms': 6.96875}
{'name': 'svchost.exe', 'pid': 13180, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.0625}
{'name': 'Code.exe', 'pid': 13268, 'username': 'DC2\\ashinde05', 'vms': 182.453125}
{'name': 'conhost.exe', 'pid': 13284, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.09765625}
